code,date,open,close,high,low,volume
SH.688122,2021-01-11 10:00:00,67.46,69.08,69.69,66.07,2857200.0
SH.688122,2021-01-11 10:30:00,69.29,70.43,70.73,69.05,2459400.0
SH.688122,2021-01-11 11:00:00,70.44,72.05,72.34,70.32,1572100.0
SH.688122,2021-01-11 11:30:00,72.05,71.03,73.5,70.8,1748300.0
SH.688122,2021-01-11 13:30:00,71.0,70.28,71.38,70.24,697700.0
SH.688122,2021-01-11 14:00:00,70.42,70.01,70.83,69.5,868000.0
SH.688122,2021-01-11 14:30:00,70.13,70.48,70.75,69.15,619200.0
SH.688122,2021-01-11 15:00:00,70.46,69.3,70.46,69.25,449800.0
SH.688122,2021-01-12 10:00:00,69.23,71.61,72.88,69.23,1929600.0
SH.688122,2021-01-12 10:30:00,71.66,72.1,73.33,71.59,1192500.0
SH.688122,2021-01-12 11:00:00,72.1,71.62,72.23,71.0,582800.0
SH.688122,2021-01-12 11:30:00,71.62,71.69,71.88,70.85,378200.0
SH.688122,2021-01-12 13:30:00,71.77,74.46,74.85,71.77,1235800.0
SH.688122,2021-01-12 14:00:00,74.47,73.02,74.47,73.02,474500.0
SH.688122,2021-01-12 14:30:00,73.09,71.68,73.1,71.45,661800.0
SH.688122,2021-01-12 15:00:00,71.79,71.35,72.36,71.11,893100.0
SH.688122,2021-01-13 10:00:00,72.79,71.18,73.3,70.47,1912000.0
SH.688122,2021-01-13 10:30:00,71.18,70.61,71.18,70.3,771100.0
SH.688122,2021-01-13 11:00:00,70.61,70.06,70.61,70.0,845100.0
SH.688122,2021-01-13 11:30:00,70.14,69.92,70.41,69.53,470200.0
SH.688122,2021-01-13 13:30:00,69.73,69.89,70.26,69.01,707800.0
SH.688122,2021-01-13 14:00:00,69.89,70.41,71.28,69.76,685500.0
SH.688122,2021-01-13 14:30:00,70.37,69.8,70.65,69.71,406900.0
SH.688122,2021-01-13 15:00:00,69.8,70.25,70.48,69.58,497400.0
SH.688122,2021-01-14 10:00:00,70.07,70.19,72.47,69.0,1376000.0
SH.688122,2021-01-14 10:30:00,70.0,71.3,71.44,68.46,1322800.0
SH.688122,2021-01-14 11:00:00,71.07,73.78,73.85,71.07,1245900.0
SH.688122,2021-01-14 11:30:00,73.79,72.1,74.2,71.53,707800.0
SH.688122,2021-01-14 13:30:00,72.1,71.16,72.6,71.0,587000.0
SH.688122,2021-01-14 14:00:00,71.1,70.69,71.39,70.2,440600.0
SH.688122,2021-01-14 14:30:00,70.67,70.75,70.89,70.0,412900.0
SH.688122,2021-01-14 15:00:00,70.72,71.6,72.28,69.88,779400.0
SH.688122,2021-01-15 10:00:00,72.1,66.5,72.24,64.3,2829300.0
SH.688122,2021-01-15 10:30:00,66.5,67.57,67.98,66.11,1630100.0
SH.688122,2021-01-15 11:00:00,67.5,67.1,67.77,67.0,775900.0
SH.688122,2021-01-15 11:30:00,67.0,65.92,67.24,65.88,795600.0
SH.688122,2021-01-15 13:30:00,65.88,64.7,65.88,63.98,1055000.0
SH.688122,2021-01-15 14:00:00,64.69,66.0,66.3,64.44,1499500.0
SH.688122,2021-01-15 14:30:00,66.0,66.88,66.99,65.86,949000.0
SH.688122,2021-01-15 15:00:00,66.81,67.99,69.0,66.8,1082500.0
